date,top1,top2,top3
2016-07-25,AMD,ATVI,ABBV
2016-07-26,AMD,ACN,ADBE
2016-07-27,ABMD,ABBV,MMM
2016-07-28,AAP,ABT,ADBE
2016-07-29,ABMD,ABBV,AES
2016-08-01,ABMD,ABT,ABBV
2016-08-02,AES,MMM,ACN
2016-08-03,AES,ATVI,AAP
2016-08-04,AMD,ABMD,ATVI
2016-08-05,AMD,ADBE,ABT
2016-08-08,AMD,ATVI,ABMD
2016-08-09,ABMD,ATVI,ABBV
2016-08-10,ADBE,AES,ACN
2016-08-11,AMD,MMM,ADBE
2016-08-12,AMD,ABBV,ABT
2016-08-15,AMD,AAP,ATVI
2016-08-16,ADBE,ABT,ACN
2016-08-17,AES,ATVI,MMM
2016-08-18,AMD,AES,ADBE
2016-08-19,AMD,ACN,ABBV
2016-08-22,ACN,AES,ATVI
2016-08-23,ACN,ATVI,AMD
2016-08-24,AAP,ATVI,ADBE
2016-08-25,ATVI,ADBE,AMD
2016-08-26,AMD,ABMD,ADBE
2016-08-29,ABMD,AES,ABT
2016-08-30,ATVI,ACN,MMM
2016-08-31,AAP,AES,ADBE
2016-09-01,ATVI,AAP,ABT
2016-09-02,AMD,AES,ATVI
2016-09-06,AES,ATVI,AAP
2016-09-07,AES,AAP,ABMD
2016-09-08,ABMD,MMM,ABT
2016-09-09,ABBV,ACN,ABT
2016-09-12,ATVI,ABMD,ACN
2016-09-13,ATVI,MMM,ABBV
2016-09-14,AMD,ABMD,ATVI
2016-09-15,ABMD,ATVI,AES
2016-09-16,ABT,ABMD,AMD
2016-09-19,AMD,AES,MMM
2016-09-20,ADBE,AES,ABBV
2016-09-21,ADBE,AES,AMD
2016-09-22,AAP,ACN,ABBV
2016-09-23,AMD,AES,AAP
2016-09-26,ABMD,AAP,ACN
2016-09-27,AMD,ADBE,ACN
2016-09-28,AMD,MMM,ABMD
2016-09-29,ACN,AMD,ATVI
2016-09-30,AMD,ABT,AAP
2016-10-03,ABT,AMD,ABBV
2016-10-04,AMD,ATVI,ADBE
2016-10-05,AAP,ABT,ATVI
2016-10-06,AMD,ABMD,ABT
2016-10-07,ABBV,ADBE,ABT
2016-10-10,ABMD,AMD,ACN
2016-10-11,ACN,MMM,AAP
2016-10-12,AMD,AES,ATVI
2016-10-13,AES,ACN,ABMD
2016-10-14,AMD,ATVI,MMM
2016-10-17,AES,ABMD,ABBV
2016-10-18,ABBV,ATVI,ABT
2016-10-19,AES,AMD,ACN
2016-10-20,AMD,ABT,ATVI
2016-10-21,ATVI,AAP,ADBE
2016-10-24,AMD,ATVI,ADBE
2016-10-25,AMD,AAP,ABBV
2016-10-26,MMM,ACN,AAP
2016-10-27,ABT,ABBV,ACN
2016-10-28,ABMD,AMD,AAP
2016-10-31,AES,ACN,AMD
2016-11-01,ABBV,ABMD,ACN
2016-11-02,ACN,MMM,ABBV
2016-11-03,AES,ATVI,ADBE
2016-11-04,AES,ABMD,ABT
2016-11-07,AMD,ABBV,ABMD
2016-11-08,MMM,AMD,ABMD
2016-11-09,ABBV,AAP,ABT
2016-11-10,AAP,ACN,MMM
2016-11-11,AMD,ABMD,ATVI
2016-11-14,AMD,ABMD,ABBV
2016-11-15,AAP,AES,AMD
2016-11-16,AMD,ACN,ATVI
2016-11-17,AMD,ATVI,AAP
2016-11-18,AMD,MMM,ACN
2016-11-21,AAP,AMD,ABMD
2016-11-22,AAP,MMM,ACN
2016-11-23,ABT,ABBV,ABMD
2016-11-25,AES,ADBE,ACN
2016-11-28,AES,AMD,ATVI
2016-11-29,ABBV,ATVI,AMD
2016-11-30,ABMD,AAP,AMD
2016-12-01,AAP,MMM,ABT
2016-12-02,AMD,ABMD,AES
2016-12-05,ABBV,ADBE,ATVI
2016-12-06,AMD,ABMD,AAP
2016-12-07,ABMD,ACN,AES
2016-12-08,AMD,AES,ABBV
2016-12-09,MMM,ABT,ACN
2016-12-12,AMD,ABMD,ATVI
2016-12-13,AES,ACN,ADBE
2016-12-14,ABMD,AMD,AAP
2016-12-15,AMD,AAP,ACN
2016-12-16,MMM,ABBV,AES
2016-12-19,AMD,ADBE,AAP
2016-12-20,AMD,AAP,AES
2016-12-21,ABMD,AES,ATVI
2016-12-22,AMD,MMM,ABBV
2016-12-23,ABBV,ABMD,ABT
2016-12-27,AMD,ABMD,AES
2016-12-28,ATVI,ABBV,MMM
2016-12-29,ABBV,ABMD,AES
2016-12-30,ABT,ACN,MMM
2017-01-03,ABT,ATVI,AAP
2017-01-04,ABMD,ATVI,ABBV
2017-01-05,ADBE,ATVI,ABT
2017-01-06,AES,ABT,ADBE
2017-01-09,AMD,ABMD,ABBV
2017-01-10,ATVI,ABT,AAP
2017-01-11,AES,ATVI,AAP
2017-01-12,ABMD,AAP,ABBV
2017-01-13,ABMD,AES,ABBV
2017-01-17,AES,ATVI,MMM
2017-01-18,ADBE,MMM,AMD
2017-01-19,ADBE,MMM,ACN
2017-01-20,ADBE,ATVI,ABT
2017-01-23,AMD,ADBE,MMM
2017-01-24,AMD,ADBE,ATVI
2017-01-25,ABMD,ABBV,ATVI
2017-01-26,AMD,ABT,MMM
2017-01-27,ABMD,AES,AMD
2017-01-30,ABBV,AAP,ABT
2017-01-31,AES,ABT,ATVI
2017-02-01,AMD,ABT,ATVI
2017-02-02,AMD,AAP,ABT
2017-02-03,ADBE,ABMD,ACN
2017-02-06,AMD,ABMD,ATVI
2017-02-07,ACN,AES,ABT
2017-02-08,AAP,AMD,AES
2017-02-09,ATVI,ACN,AAP
2017-02-10,ATVI,AES,AMD
2017-02-13,MMM,ABT,ACN
2017-02-14,ABMD,AAP,ACN
2017-02-15,ABMD,ABBV,ATVI
2017-02-16,ABMD,MMM,AES
2017-02-17,ABMD,AMD,ABT
2017-02-21,AMD,AES,ABMD
2017-02-22,AMD,MMM,ACN
2017-02-23,AES,ABBV,ABT
2017-02-24,AES,ATVI,ACN
2017-02-27,AMD,ABMD,ATVI
2017-02-28,AES,ABMD,AAP
2017-03-01,ATVI,AMD,ABMD
2017-03-02,AES,ABBV,AAP
2017-03-03,ATVI,ABMD,ABBV
2017-03-06,ATVI,ABBV,ADBE
2017-03-07,ACN,ATVI,ABBV
2017-03-08,AAP,AMD,ATVI
2017-03-09,ATVI,AMD,ABT
2017-03-10,AMD,ABBV,ADBE
2017-03-13,AMD,ATVI,ADBE
2017-03-14,ACN,AES,ABBV
2017-03-15,AES,ABMD,ABBV
2017-03-16,AAP,ADBE,ABMD
2017-03-17,ADBE,AES,MMM
2017-03-20,AMD,MMM,ABBV
2017-03-21,AES,ACN,ABT
2017-03-22,AMD,ACN,ABMD
2017-03-23,ADBE,AES,ABMD
2017-03-24,ABMD,ATVI,ADBE
2017-03-27,ABBV,ADBE,ATVI
2017-03-28,ACN,AES,ATVI
2017-03-29,AAP,ATVI,ADBE
2017-03-30,AMD,MMM,ATVI
2017-03-31,AMD,AES,ADBE
2017-04-03,AMD,ABT,AES
2017-04-04,AES,ADBE,ACN
2017-04-05,ATVI,AMD,MMM
2017-04-06,ABMD,ATVI,ADBE
2017-04-07,AMD,ABBV,ACN
2017-04-10,AES,AAP,ACN
2017-04-11,AES,ABT,ABMD
2017-04-12,AES,ABBV,MMM
2017-04-13,AES,ADBE,ABBV
2017-04-17,AMD,ABT,MMM
2017-04-18,AMD,ATVI,ACN
2017-04-19,ABMD,AAP,ACN
2017-04-20,AAP,AMD,ACN
2017-04-21,AAP,MMM,ADBE
2017-04-24,ABMD,ATVI,AES
2017-04-25,AMD,ATVI,ABBV
2017-04-26,ABMD,ACN,ABT
2017-04-27,AMD,ABBV,ACN
2017-04-28,ACN,ATVI,ADBE
2017-05-01,ABMD,AMD,ADBE
2017-05-02,AAP,MMM,ATVI
2017-05-03,AMD,MMM,ABT
2017-05-04,ABT,AAP,MMM
2017-05-05,AES,ABMD,ATVI
2017-05-08,AAP,ATVI,ADBE
2017-05-09,AMD,ATVI,ADBE
2017-05-10,AMD,ATVI,AES
2017-05-11,AMD,ADBE,MMM
2017-05-12,AMD,ABBV,ATVI
2017-05-15,ABMD,AMD,ACN
2017-05-16,AMD,ACN,ATVI
2017-05-17,AES,AAP,MMM
2017-05-18,AAP,ABMD,ATVI
2017-05-19,AAP,ADBE,ATVI
2017-05-22,ATVI,ADBE,ACN
2017-05-23,ATVI,ABBV,ADBE
2017-05-24,AES,ATVI,ADBE
2017-05-25,ADBE,ATVI,MMM
2017-05-26,ABMD,ABT,AAP
2017-05-30,AMD,MMM,ABMD
2017-05-31,ABT,MMM,ACN
2017-06-01,ABMD,AAP,AES
2017-06-02,ADBE,MMM,ABT
